2026-02-21 01:20:23,261 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:20:23,261 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:20:23,262 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:20:23,264 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:20:23,415 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:20:23,416 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:25:13,914 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:25:13,914 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:25:13,915 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:25:13,915 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:25:13,916 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:25:13,916 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:25:13,919 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:25:14,074 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:25:14,075 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:25:20,514 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:25:20,515 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:25:20,516 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:25:20,518 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:25:20,518 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:25:20,519 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:25:20,521 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:25:20,698 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:25:20,698 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:25:27,827 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:25:27,829 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:25:27,829 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:25:27,829 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:25:27,830 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:25:27,831 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:25:27,834 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:25:28,023 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:25:28,023 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:26:38,160 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:26:38,161 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:26:38,161 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
